"id","type","x","y","z","vx","vy","vz","fz","fy","fz","TIMESTEP"
1,1,0.00160126,0.00241087,0.0584386,0,0,-0.196102,-0.0821841,0,-0.0821841,1000
1,1,0.00160126,0.00241087,0.0525551,0,0,-0.392302,-0.0821841,0,-0.0821841,2000
1,1,0.00160126,0.00241087,0.0427475,0,0,-0.588502,-0.0821841,0,-0.0821841,3000
2,1,0.00308099,0.00212281,0.102724,0,0,-0.136849,-0.0821841,0,-0.0821841,3000
1,1,0.00160126,0.00241087,0.029016,0,0,-0.784702,-0.0821841,0,-0.0821841,4000
2,1,0.00308099,0.00212281,0.0980255,0,0,-0.333049,-0.0821841,0,-0.0821841,4000
1,1,0.00160126,0.00241087,0.0113604,0,0,-0.980902,-0.0821841,0,-0.0821841,5000
2,1,0.00308099,0.00212281,0.089403,0,0,-0.529249,-0.0821841,0,-0.0821841,5000
1,1,0.00160126,0.00241087,-0.0102191,0,0,-1.1771,-0.0821841,0,-0.0821841,6000
2,1,0.00308099,0.00212281,0.0768565,0,0,-0.725449,-0.0821841,0,-0.0821841,6000
1,1,0.00160126,0.00241087,-0.0357227,0,0,-1.3733,-0.0821841,0,-0.0821841,7000
2,1,0.00308099,0.00212281,0.060386,0,0,-0.921649,-0.0821841,0,-0.0821841,7000
1,1,0.00160126,0.00241087,-0.0651502,0,0,-1.5695,-0.0821841,0,-0.0821841,8000
2,1,0.00308099,0.00212281,0.0399915,0,0,-1.11785,-0.0821841,0,-0.0821841,8000
3,1,-0.00186182,-0.00157956,0.0900944,0,0,-0.0915273,-0.0821841,0,-0.0821841,8000
1,1,-0.00102589,0.00260809,-0.0882705,-0.699212,0.0524896,0.812803,-0.0821841,0,-0.0821841,9000
2,1,0.00308099,0.00212281,0.015673,0,0,-1.31405,-0.0821841,0,-0.0821841,9000
3,1,-0.00186182,-0.00157956,0.0863023,0,0,-0.287727,-0.0821841,0,-0.0821841,9000
1,1,-0.0150101,0.00365788,-0.073976,-0.699212,0.0524896,0.616603,-0.0821841,0,-0.0821841,10000
2,1,0.00308099,0.00212281,-0.0125695,0,0,-1.51025,-0.0821841,0,-0.0821841,10000
3,1,-0.00186182,-0.00157956,0.0785862,0,0,-0.483927,-0.0821841,0,-0.0821841,10000
1,1,-0.0289944,0.00470767,-0.0636054,-0.699212,0.0524896,0.420403,-0.0821841,0,-0.0821841,11000
2,1,0.00308099,0.00212281,-0.044736,0,0,-1.70645,-0.0821841,0,-0.0821841,11000
3,1,-0.00186182,-0.00157956,0.0669462,0,0,-0.680127,-0.0821841,0,-0.0821841,11000
2,1,0.00308099,0.00212281,-0.0808265,0,0,-1.90265,-0.0821841,0,-0.0821841,12000
